Index,Date,Home Team,Away Team,Win or Loss for Celtics,Win or Loss for Warriors,Celtics score,Warriors score,Streak
247,1-Mar-57,Celtics,Warriors,W,L,90,80,Celtics won 1
248,22-Feb-57,Warriors,Celtics,L,W,109,117,Warriors won 1
249,10-Feb-57,Celtics,Warriors,W,L,103,98,Celtics won 5
250,28-Jan-57,Celtics,Warriors,W,L,105,95,Celtics won 4
251,27-Jan-57,Warriors,Celtics,W,L,107,87,Celtics won 3
252,1-Jan-57,None,None,W,L,100,87,Celtics won 2
253,26-Dec-56,Celtics,Warriors,W,L,120,97,Celtics won 1
254,25-Dec-56,None,None,L,W,82,89,Warriors won 3
255,16-Dec-56,None,None,L,W,104,116,Warriors won 2
256,6-Dec-56,Warriors,Celtics,L,W,111,113,Warriors won 1
257,22-Nov-56,Warriors,Celtics,W,L,101,78,Celtics won 2
258,21-Nov-56,Celtics,Warriors,W,L,95,83,Celtics won 1
259,8-Mar-56,Warriors,Celtics,L,W,120,142,Warriors won 1
260,4-Mar-56,Celtics,Warriors,W,L,128,114,Celtics won 1
261,24-Feb-56,Warriors,Celtics,L,W,129,135,Warriors won 1
262,19-Feb-56,Celtics,Warriors,W,L,120,118,Celtics won 1
263,18-Feb-56,None,None,L,W,101,115,Warriors won 3
264,23-Jan-56,None,None,L,W,104,120,Warriors won 2
265,22-Jan-56,Celtics,Warriors,L,W,115,129,Warriors won 1
266,14-Jan-56,Warriors,Celtics,W,L,104,103,Celtics won 2
267,1-Jan-56,Celtics,Warriors,W,L,121,113,Celtics won 1
268,13-Dec-55,None,None,L,W,108,109,Warriors won 2
269,17-Nov-55,Warriors,Celtics,L,W,92,106,Warriors won 1
270,5-Nov-55,Celtics,Warriors,W,L,98,87,Celtics won 2
271,8-Mar-55,None,None,W,L,112,103,Celtics won 1
272,5-Mar-55,Warriors,Celtics,L,W,89,95,Warriors won 1
273,20-Feb-55,Celtics,Warriors,W,L,114,99,Celtics won 1
274,11-Feb-55,Warriors,Celtics,L,W,101,105,Warriors won 3
275,6-Feb-55,Celtics,Warriors,L,W,109,113,Warriors won 2
276,2-Feb-55,None,None,L,W,107,122,Warriors won 1
277,23-Jan-55,Celtics,Warriors,W,L,94,91,Celtics won 5
278,21-Jan-55,None,None,W,L,90,89,Celtics won 4
279,8-Jan-55,Celtics,Warriors,W,L,117,105,Celtics won 3
280,31-Dec-54,None,None,W,L,119,113,Celtics won 2
281,18-Dec-54,Celtics,Warriors,W,L,107,103,Celtics won 1
282,25-Nov-54,Warriors,Celtics,L,W,98,103,Warriors won 1
283,14-Mar-54,Celtics,Warriors,W,L,97,92,Celtics won 3
284,12-Mar-54,None,None,W,L,97,95,Celtics won 2
285,21-Feb-54,None,None,W,L,95,85,Celtics won 1
286,4-Feb-54,Warriors,Celtics,L,W,78,80,Warriors won 2
287,19-Jan-54,Warriors,Celtics,L,W,73,89,Warriors won 1
288,20-Dec-53,None,None,W,L,101,89,Celtics won 1
289,9-Dec-53,Warriors,Celtics,L,W,103,104,Warriors won 1
290,1-Dec-53,None,None,W,L,89,86,Celtics won 1
291,11-Nov-53,Celtics,Warriors,L,W,72,78,Warriors won 1
292,7-Nov-53,Warriors,Celtics,W,L,79,77,Celtics won 4
293,15-Mar-53,Celtics,Warriors,W,L,103,87,Celtics won 3
294,4-Mar-53,None,None,W,L,82,75,Celtics won 2
295,25-Feb-53,Celtics,Warriors,W,L,87,80,Celtics won 1
296,12-Feb-53,Warriors,Celtics,L,W,91,92,Warriors won 1
297,7-Jan-53,Warriors,Celtics,W,L,84,82,Celtics won 8
298,13-Dec-52,Celtics,Warriors,W,L,82,78,Celtics won 7
299,10-Dec-52,None,None,W,L,103,97,Celtics won 6
300,9-Dec-52,None,None,W,L,86,72,Celtics won 5
301,27-Nov-52,Warriors,Celtics,W,L,83,70,Celtics won 4
302,26-Nov-52,Celtics,Warriors,W,L,93,92,Celtics won 3
303,16-Mar-52,Celtics,Warriors,W,L,96,89,Celtics won 2
304,11-Mar-52,Warriors,Celtics,W,L,88,84,Celtics won 1
305,29-Jan-52,Warriors,Celtics,L,W,96,97,Warriors won 2
306,26-Jan-52,Celtics,Warriors,L,W,85,89,Warriors won 1
307,16-Dec-51,Celtics,Warriors,W,L,92,90,Celtics won 1
308,11-Dec-51,Warriors,Celtics,L,W,78,79,Warriors won 1
309,25-Nov-51,Celtics,Warriors,W,L,103,85,Celtics won 5
310,23-Nov-51,Warriors,Celtics,W,L,102,100,Celtics won 4
311,10-Nov-51,None,None,W,L,83,69,Celtics won 3
312,25-Feb-51,Celtics,Warriors,W,L,93,83,Celtics won 2
313,16-Feb-51,Celtics,Warriors,W,L,81,76,Celtics won 1
314,13-Feb-51,Warriors,Celtics,L,W,98,104,Warriors won 2
315,1-Feb-51,Warriors,Celtics,L,W,80,82,Warriors won 1
316,14-Jan-51,Celtics,Warriors,W,L,98,73,Celtics won 2
317,13-Jan-51,Warriors,Celtics,W,L,97,87,Celtics won 1
318,28-Nov-50,None,None,L,W,74,76,Warriors won 3
319,4-Nov-50,Warriors,Celtics,L,W,68,77,Warriors won 2
320,1-Mar-50,Warriors,Celtics,L,W,64,77,Warriors won 1
321,23-Feb-50,None,None,W,L,82,77,Celtics won 2
322,19-Jan-50,Celtics,Warriors,W,L,86,63,Celtics won 1
323,18-Jan-50,Warriors,Celtics,L,W,86,94,Warriors won 1
324,8-Dec-49,Celtics,Warriors,W,L,91,87,Celtics won 1
325,16-Nov-49,Warriors,Celtics,L,W,80,93,Warriors won 1
326,11-Mar-49,Celtics,Warriors,W,L,108,100,Celtics won 1
327,14-Jan-49,Celtics,Warriors,L,W,79,104,Warriors won 2
328,25-Dec-48,Warriors,Celtics,L,W,77,80,Warriors won 1
329,2-Dec-48,Warriors,Celtics,W,L,88,87,Celtics won 2
330,7-Nov-48,Celtics,Warriors,W,L,85,77,Celtics won 1
331,4-Nov-48,Warriors,Celtics,L,W,73,94,Warriors won 4
332,4-Mar-48,Warriors,Celtics,L,W,62,82,Warriors won 3
333,12-Feb-48,Warriors,Celtics,L,W,60,69,Warriors won 2
334,27-Jan-48,Celtics,Warriors,L,W,68,77,Warriors won 1
335,22-Jan-48,Warriors,Celtics,W,L,61,54,Celtics won 4
336,30-Dec-47,Celtics,Warriors,W,L,70,64,Celtics won 3
337,12-Dec-47,Celtics,Warriors,W,L,69,67,Celtics won 2
338,20-Nov-47,Warriors,Celtics,W,L,67,57,Celtics won 1
339,14-Nov-47,Celtics,Warriors,L,W,74,79,Warriors won 5
340,13-Mar-47,Warriors,Celtics,L,W,57,81,Warriors won 4
341,3-Feb-47,Celtics,Warriors,L,W,55,61,Warriors won 3
342,21-Jan-47,Warriors,Celtics,L,W,43,59,Warriors won 2
343,27-Dec-46,Celtics,Warriors,L,W,60,63,Warriors won 1
344,14-Dec-46,Celtics,Warriors,W,L,77,65,Celtics won 1
345,26-Nov-46,Warriors,Celtics,L,W,54,66,Warriors won 1
